KEGGid,SMILES_by_ChEBI
C00220,[Cl-].CN(C)c1ccc2nc3ccc(cc3[s+]c2c1)N(C)C
C00221,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O
C00222,[H]C(=O)CC([O-])=O
C00223,CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C=Cc1ccc(O)cc1
C00224,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP(O)(=O)OS(O)(=O)=O)[C@@H](O)[C@H]1O
C00225,[Cl-].[Cl-].C[n+]1ccc(cc1)-c1cc[n+](C)cc1
C00226,*C(O)([H])[H]
C00227,CC(=O)OP(O)(O)=O
C00229,S*
C00230,C(=O)(C1=CC(=C(C=C1)O)O)O
C00231,OCC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O
C00232,[H]C(=O)CCC(O)=O
C00233,CC(C)CC(=O)C(O)=O
C00234,[H]C(=O)N(C[C@H]1CNc2nc(N)[nH]c(=O)c2N1)c1ccc(cc1)C(=O)N[C@@H](CCC(O)=O)C(O)=O
C00235,CC(C)=CCOP(O)(=O)OP(O)(O)=O
C00236,O[C@H](COP(O)(O)=O)C(=O)OP(O)(O)=O
C00237,[C-]#[O+]
C00238,[K+]
C00239,Nc1ccn([C@H]2C[C@H](O)[C@@H](COP(O)(O)=O)O2)c(=O)n1
C00240,None
C00241,None
C00242,C12=C(N=C(NC1=O)N)NC=N2
C00243,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O
C00244,None
C00245,C(CS(O)(=O)=O)N
C00246,CCCC(O)=O
C00247,OCC1(O)OC[C@H](O)[C@@H](O)[C@@H]1O
C00248,NC(=O)CCCCC1CCSS1
C00249,CCCCCCCCCCCCCCCC(O)=O
C00250,[H]C(=O)c1c(CO)cnc(C)c1O
C00251,O[C@@H]1C=CC(=C[C@H]1OC(=C)C(O)=O)C(O)=O
C00252,OC[C@H]1O[C@H](OC[C@H]2OC(O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
C00253,OC(=O)c1cccnc1
C00254,O[C@H]1C=C[C@](CC(=O)C([O-])=O)(C=C1)C([O-])=O
C00255,Cc1cc2nc3c(nc(=O)[nH]c3=O)n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C
C00256,C[C@@H](O)C(O)=O
C00257,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C([O-])=O
C00258,OC[C@@H](O)C(O)=O
C00259,O[C@H]1COC(O)[C@H](O)[C@H]1O
C00261,O=Cc1ccccc1
C00262,O=c1[nH]cnc2nc[nH]c12
C00263,N[C@@H](CCO)C(O)=O
C00264,CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC([*])=O
C00265,OC(CS)C(O)CS
C00266,[H]C(=O)CO
C00267,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O
C00268,C1=2C(=NC(CN1)C(C(C)O)O)C(N=C(N2)N)=O
C00269,Nc1ccn([C@@H]2O[C@H](COP(O)(=O)OP(O)(=O)OC[C@@H](COC([*])=O)OC([*])=O)[C@@H](O)[C@H]2O)c(=O)n1
C00270,[H][C@]1(OC(O)(C[C@H](O)[C@H]1NC(C)=O)C(O)=O)[C@H](O)[C@H](O)CO
C00272,CC(O)C(O)C1CNc2nc(N)[nH]c(=O)c2N1
C00273,OCC(=O)[C@@H](O)[C@H](O)C(=O)CO
C00275,None
C00279,[H]C(=O)[C@H](O)[C@H](O)COP(O)(O)=O
C00280,[H][C@@]12CCC3=CC(=O)CC[C@]3(C)[C@@]1([H])CC[C@]1(C)C(=O)CC[C@@]21[H]
C00282,[H][H]
C00283,[H]S[H]
C00284,OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O
C00286,Nc1nc2n(cnc2c(=O)[nH]1)[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O1
C00288,OC([O-])=O
C00290,CNC(=O)CNC(=O)CN
C00291,[Ni]
C00292,Nc1ccccc1
C00294,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(O)ncnc12
C00295,OC(=O)c1cc(=O)[nH]c(=O)[nH]1
C00296,O[C@@H]1C[C@@](O)(C[C@@H](O)[C@H]1O)C([O-])=O
C00297,None
C00298,None
C00299,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1ccc(=O)[nH]c1=O
C00300,CN(CC(O)=O)C(N)=N
C00301,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2OC(O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O
C00302,NC(CCC(O)=O)C(O)=O
C00303,NC(CCC(N)=O)C(O)=O
C00304,None
C00305,[Mg++]
C00306,None
C00307,C[N+](C)(C)CCOP([O-])(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1ccc(N)nc1=O
C00308,N[C@@H](CCONC(N)=N)C(O)=O
C00309,OC[C@@H](O)[C@@H](O)C(=O)CO
C00310,C(O)C(=O)[C@@H](O)[C@H](O)CO
C00311,OC(C(CC(O)=O)C(O)=O)C(O)=O
C00312,OC[C@H](O)[C@@H](O)C(=O)CO
C00313,CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C(O)=O
C00314,Cc1ncc(CO)c(CO)c1O
C00315,NCCCCNCCCN
C00317,None
C00318,C[N+](C)(C)C[C@H](O)CC([O-])=O
C00319,CCCCCCCCCCCCC\C=C\[C@@H](O)[C@@H](N)CO
C00320,[H]OS([S-])(=O)=O
C00322,OC(=O)CCCC(=O)C(O)=O
C00323,[H]C(=CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12)c1ccc(O)c(O)c1
C00324,N#C[Fe-3](C#N)(C#N)(C#N)(C#N)C#N
C00325,C[C@@H]1O[C@H](OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c2nc(N)[nH]c3=O)[C@@H](O)[C@H](O)[C@@H]1O
C00326,None
C00327,N[C@@H](CCCNC(N)=O)C(O)=O
C00328,N[C@@H](CC(=O)c1ccccc1N)C(O)=O
C00329,N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O
C00330,Nc1nc2n(cnc2c(=O)[nH]1)[C@H]1C[C@H](O)[C@@H](CO)O1
C00331,OC(=O)C(=O)Cc1c[nH]c2ccccc12
C00332,CC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12
C00333,OC1O[C@@H]([C@H](O)[C@H](O)[C@H]1O)C(O)=O
C00334,NCCCC(O)=O
C00337,OC(=O)[C@@H]1CC(=O)NC(=O)N1
C00338,None
C00339,O[*]
C00340,None
C00341,CC(C)=CCC\C(C)=C\COP(O)(=O)OP(O)(O)=O
C00342,None
C00343,[*]N[C@@H](CSSC[C@H](N[*])C([*])=O)C([*])=O
C00344,OCC(O)COP(O)(=O)OCC(COC([*])=O)OC([*])=O
C00345,O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O
C00346,NCCOP(O)(O)=O
C00347,OC(=O)CC[*]
C00348,CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\COP(O)(O)=O
C00349,CC(C=O)C(O)=O
C00350,O(P(=O)(OCCN)O)CC(OC(*)=O)COC(*)=O
C00351,None
C00352,N[C@H]1C(O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O
C00353,CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C(C)=C\COP(O)(=O)OP(O)(O)=O
C00354,[H][C@@](O)(COP(O)(O)=O)[C@@]([H])(O)[C@]([H])(O)C(=O)COP(O)(O)=O
C00355,N[C@@H](Cc1ccc(O)c(O)c1)C(O)=O
C00356,C[C@](O)(CC(O)=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12
C00357,CC(=O)N[C@H]1C(O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O
C00360,Nc1ncnc2n(cnc12)[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1
C00361,Nc1nc2n(cnc2c(=O)[nH]1)[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O1
C00362,Nc1nc2n(cnc2c(=O)[nH]1)[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1
C00363,Cc1cn([C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O2)c(=O)[nH]c1=O
C00364,Cc1cn([C@H]2C[C@H](O)[C@@H](COP(O)(O)=O)O2)c(=O)[nH]c1=O
C00365,O[C@H]1C[C@@H](O[C@@H]1COP(O)(O)=O)n1ccc(=O)[nH]c1=O
C00366,O=c1[nH]c2[nH]c(=O)[nH]c(=O)c2[nH]1
C00367,None
C00369,None
C00370,C12C(C3C(C(CC3)*)(C)CC1)CCC4C2(CCC(C4)O)C
C00371,C\C(CO)=C/CNc1ncnc2[nH]cnc12
C00372,None
C00373,None
C00374,None
C00375,NC[*]
C00376,[H]C(=O)\C=C(C)\C=C\C=C(C)\C=C\C1=C(C)CCCC1(C)C
C00377,C12C(C3C(C(CC3)*)(C)CC1)CCC4C2(CCCC4)C
C00378,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1
