KEGGid,SMILES_by_ChEBI,SMILES_by_CAS
C15594,O1C(C(C(C(C1O*)O)O)O)CO,None
C15595,O1C(C(C(C(C1O*)O)=O)O)CO,None
C15596,None,None
C15597,None,None
C15598,OC1Cc2ccccc2OC1c1ccccc1,None
C15599,NC(CC1=CC2=C(NC(CC2C(O)=O)C(O)=O)C(=O)C1=O)C(O)=O,None
C15601,[H][C@@]12Oc3cc(O)ccc3[C@]1(O)COc1c3C=CC(C)(C)Oc3ccc21,None
C15602,O=C1C=CC(=O)C=C1,None
C15603,Oc1ccc(O)cc1,None
C15604,CC(C)=CC=O,None
C15605,[H]C(=O)Nc1ccccc1C(=O)C[C@@H](N)C(O)=O,None
C15606,CSCCC(=O)C(\O)=C\O,None
C15607,NC(=O)NC(=O)CC(O)=O,None
C15608,O=c1cc(oc2ccccc12)-c1ccccc1,None
C15609,None,None
C15610,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)CO,CC(CO)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
C15612,[H]\C(C)=C1/C[C@@H](C)[C@@](C)(O)C(=O)OCC2=CC[N+]3([O-])CC[C@@]([H])(OC1=O)[C@@]23[H],None
C15613,[H][C@@](C)(CCC[C@@H](C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12)[C@@]1([H])CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C,None
