KEGGid,SMILES_by_ChEBI,SMILES_by_CAS
C09304,C\C1=C/CC\C(CO)=C\[C@@H](O)[C@H]2[C@H](C1)OC(=O)C2=C,C\C1=C/CCC(=C/[C@@H](O)[C@H]2[C@H](C1)OC(=O)C2=C)/CO
C09305,O=c1ccc2cc3ccoc3cc2o1,O=C1Oc2cc3occc3cc2C=C1
C09306,O=S=O,O=[S]=O
C09307,C\C=C(\C)C(=O)O[C@H]1[C@@H](OC(C)=O)C(C)(C)Oc2ccc3ccc(=O)oc3c12,C\C=C(\C)C(=O)O[C@H]1[C@@H](OC(C)=O)C(C)(C)Oc2ccc3C=CC(=O)Oc3c12
C09308,CC(=O)OC(C)(C)[C@@H]1Cc2cc3cc(c(=O)oc3cc2O1)C(C)(C)C=C,CC(=O)OC(C)(C)C1Cc2cc3C=C(C(=O)Oc3cc2O1)C(C)(C)C=C
C09309,[C@H]1(OC=2C=3O[C@H](C(C)(C)O)CC3C=C4C2OC(=O)C=C4)[C@@H]([C@H]([C@H](O)[C@H](O1)CO)O)O,CC(C)(O)[C@@H]1Cc2cc3C=CC(=O)Oc3c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c2O1
C09310,CC(=O)O[C@H]1[C@@H](OC(=O)C=C(C)C)C(C)(C)Oc2ccc3ccc(=O)oc3c12,CC(C)=CC(=O)O[C@@H]1[C@H](OC(C)=O)c2c(OC1(C)C)ccc3C=CC(=O)Oc23
C09311,COc1cc2ccc(=O)oc2cc1OC,COc1cc2OC(=O)C=Cc2cc1OC
C09312,CC1(C)Oc2ccc3ccc(=O)oc3c2C=C1,CC1(C)Oc2ccc3C=CC(=O)Oc3c2C=C1
C09313,COc1cc2oc(=O)ccc2c(OC)c1OC,COc1cc2OC(=O)C=Cc2c(OC)c1OC
C09314,Cc1cc2cc3c(C)cc(=O)oc3c(C)c2o1,Cc1oc2c(C)c3OC(=O)C=C(C)c3cc2c1
C09315,C12=CC(=CC=C2C=CC(O1)=O)O,Oc1ccc2C=CC(=O)Oc2c1
C09316,CC[C@@H](C)C(=O)O[C@@H]1[C@H](OC(C)=O)c2c(OC1(C)C)ccc1ccc(=O)oc21,CC[C@@H](C)C(=O)O[C@@H]1[C@H](OC(C)=O)c2c(OC1(C)C)ccc3C=CC(=O)Oc23
C09317,CC1(C)Oc2cc3oc(=O)ccc3cc2C=C1,CC1(C)Oc2cc3OC(=O)C=Cc3cc2C=C1
C09318,CC1(C)Oc2ccc(cc2C=C1)[C@@H]1CC(=O)c2ccc(O)cc2O1,CC1(C)Oc2ccc(cc2C=C1)[C@@H]3CC(=O)c4ccc(O)cc4O3
C09319,CC(C)=CCc1cc(cc(CC=C(C)C)c1O)[C@@H]1CC(=O)c2c(O)cc(O)cc2O1,CC(C)=CCc1cc(cc(CC=C(C)C)c1O)[C@@H]2CC(=O)c3c(O)cc(O)cc3O2
C09320,O[C@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1ccc(O)cc1,O[C@H]1Cc2c(O)cc(O)cc2O[C@@H]1c3ccc(O)cc3
C09321,Oc1ccccc1C(=O)\C=C\c1ccccc1,None
C09322,[H][C@@]12Cc3cc(O)c(OC)cc3-c3c4OCOc4cc(CCN1)c23,COc1cc2c(C[C@@H]3NCCc4cc5OCOc5c2c34)cc1O
C09323,COc1cc(C[C@@H]2N(C)CCc3cc(OC)c(OC)cc23)c(Oc2cc3C[C@@H]4N(C)CCc5c(OC)c(OC)c(OC)c(-c3cc2OC)c45)cc1OC,COc1cc2CCN(C)[C@@H](Cc3cc(OC)c(OC)cc3Oc4cc5C[C@@H]6N(C)CCc7c(OC)c(OC)c(OC)c(c5cc4OC)c67)c2cc1OC
C09324,COc1cc2CCN(C)C([C@H]3OC(=O)c4c3ccc3OCOc43)c2cc1OC,COc1cc2CCN(C)[C@H]([C@H]3OC(=O)c4c5OCOc5ccc34)c2cc1OC
C09325,COc1ccc2CC[C@]34NCC[C@]3(CC(=O)C(OC)=C4OC)c2c1O,COc1ccc2CC[C@]34NCC[C@]3(CC(=O)C(=C4OC)OC)c2c1O
C09326,COc1cc2CCn3c(cc4c(cncc4c3=O)[C@@H](C)O)-c2cc1O,COc1cc2CCN3C(=O)c4cncc([C@@H](C)O)c4C=C3c2cc1O
C09327,[H][C@]1(CC2=NCCc3cc(O)c(OC)cc23)C[C@]2([H])N(CCc3c(O)c(OC)c(OC)cc23)C[C@@H]1CC,CC[C@H]1CN2CCc3c(O)c(OC)c(OC)cc3[C@@H]2C[C@@H]1CC4=C5C=C(OC)C(=O)C=C5CCN4
C09328,CC[C@H]1CN2CCc3c(O)c(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2c1[nH]c1ccccc21,CC[C@H]1CN2CCc3c(O)c(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]4NCCc5c4[nH]c6ccccc56
C09329,COc1cc2CCn3c(cc4c(C=C)cncc4c3=O)-c2cc1O,COc1cc2CCN3C(=O)c4cncc(C=C)c4C=C3c2cc1O
C09330,[H][C@]12C[C@@]3([H])N(CCc4cc(OC)c(O)cc34)C(=O)C1=CO[C@@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C2C=C,COc1cc2CCN3[C@H](C[C@H]4[C@@H](C=C)[C@@H](OC=C4C3=O)O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)c2cc1O
C09331,CO[C@H]1O[C@@H]2[C@H](N(C)CCc3cc(OC)c(OC)cc23)c2ccc(OC)c(OC)c12,CO[C@H]1O[C@@H]2[C@H](N(C)CCc3cc(OC)c(OC)cc23)c4ccc(OC)c(OC)c14
C09332,Nc1nc2NCC(CNc3ccc(cc3)C(=O)N[C@@H](CCC(=O)N[C@@H](CCC(O)=O)C(O)=O)C(O)=O)Nc2c(=O)[nH]1,None
C09333,COc1cc2C[C@@H]3N(C)C[C@H](c2cc1O)c1cc2OCOc2cc31,COc1cc2C[C@@H]3N(C)C[C@H](c2cc1O)c4cc5OCOc5cc34
C09334,COC1=C[C@]23CCN(C)[C@H](Cc4cc5OCOc5cc24)C3=CC1=O,COC1=C[C@]23CCN(C)[C@H](Cc4cc5OCOc5cc24)C3=CC1=O
C09335,COc1cc(O)c(c2C[C@H](C)N[C@@H](C)c12)-c1c(C)cc(OC)c2c(OC)cccc12,COc1cccc2c(c(C)cc(OC)c12)c3c(O)cc(OC)c4[C@H](C)N[C@@H](C)Cc34
C09336,COC1N(C)c2c(ccc3cc4OCOc4cc23)-c2ccc(OC)c(OC)c12,COC1N(C)c2c3cc4OCOc4cc3ccc2c5ccc(OC)c(OC)c15
C09337,CC[C@H]1CN2CCc3c(O)c(OC)c(OC)cc3[C@@H]2C[C@@H]1CCO,CC[C@H]1CN2CCc3c(O)c(OC)c(OC)cc3[C@@H]2C[C@@H]1CCO
C09338,Oc1ccc-2c(C[C@H]3NCCc4cc5OCOc5c-2c34)c1,Oc1ccc2c(C[C@H]3NCCc4cc5OCOc5c2c34)c1
C09339,[H][C@]12Cc3ccccc3-c3c4OCOc4cc(CCN1)c23,C1Cc2cc3OCOc3c4c5ccccc5C[C@@H](N1)c24
C09340,COc1cc2CCN(C)[C@@H]3Cc4ccc(O)cc4-c(c1O)c23,COc1cc2CCN(C)[C@@H]3Cc4ccc(O)cc4c(c1O)c23
C09341,COc1cc2C[C@@H]3N(C)[C@@H](Cc4cc(OC)c(OC)cc34)c2cc1OC,COc1cc2CC3N(C)C(Cc4cc(OC)c(OC)cc34)c2cc1OC
C09342,COc1cc2CCN(C)[C@H](Cc3ccc(O)cc3)c2cc1OC,COc1cc2CCN(C)[C@H](Cc3ccc(O)cc3)c2cc1OC
C09343,COc1cc-2c(cc1O)C(=O)c1nccc3cc(OC)c(OC)c-2c13,COC1=CC2=C3C(=C(OC)C=C4C=CNC(=C34)C(=O)C2=CC1=O)OC
C09344,C[C@H]1[C@H]2[C@H](OC1=O)C1=C(C)C(=O)C=C[C@]1(C)C[C@@H]2O,C[C@H]1[C@@H]2[C@@H](O)C[C@@]3(C)C=CC(=O)C(=C3[C@H]2OC1=O)C
C09345,C\C1=C/[C@H]2OC(=O)C(=C)[C@@H]2CCC(=C)[C@H](O)CC1,C\C1=C/C2OC(=O)C(=C)C2CCC(=C)C(O)CC1
C09346,C[C@@H]1C[C@H]2OC(=O)C(=C)[C@H]2[C@H](O)[C@]2(C)[C@@H](O)[C@@H]3O[C@@H]3[C@@H]12,C[C@@H]1C[C@H]2OC(=O)C(=C)[C@H]2[C@H](O)[C@]3(C)[C@@H](O)[C@@H]4O[C@@H]4[C@@H]13
C09347,COc1c2OCOc2c2-c3ccccc3C(=O)c3nccc1c23,COc1c2OCOc2c3c4ccccc4C(=O)c5nccc1c35
C09348,COc1cc2ccncc2cc1OC,COc1cc2ccncc2cc1OC
C09349,C\C1=C\[C@@H](O)C[C@@]2(C)O[C@@H]2C[C@H]2[C@H](C1)OC(=O)C2=C,C/C1=C/[C@@H](O)C[C@@]2(C)O[C@@H]2C[C@H]3[C@H](C1)OC(=O)C3=C
C09350,C[C@H]1CCC[C@@H]2C[C@@]3(C[C@]12C)C(=C)COC3=O,C[C@H]1CCC[C@@H]2C[C@@]3(C[C@]12C)C(=C)COC3=O
C09351,C\C=C(\C)C(=O)O[C@@H]1C[C@@]2(C)OC(=CC2=O)\C(CO)=C/[C@H]2OC(=O)C(=C)[C@H]12,C\C=C(\C)C(=O)O[C@@H]1C[C@@]2(C)OC(=CC2=O)C(=C/[C@H]3OC(=O)C(=C)[C@H]13)\CO
C09352,COc1cc2CCN(C)[C@H]3Cc4ccc(Oc5c(O)c(OC)cc6CCN(C)[C@@H](Cc7ccc(O)c(Oc1cc23)c7)c56)cc4,COc1cc2CCN(C)[C@H]3Cc4ccc(O)c(Oc5cc6[C@H](Cc7ccc(Oc(c1O)c23)cc7)N(C)CCc6cc5OC)c4
C09353,CC(=C)C(=O)O[C@@H]1C[C@@]2(C)OC(=CC2=O)\C(C)=C/[C@H]2OC(=O)C(=C)[C@H]12,CC(=C)C(=O)O[C@@H]1C[C@@]2(C)OC(=CC2=O)C(=C/[C@H]3OC(=O)C(=C)[C@H]13)\C
C09354,C[C@@]12O[C@@H]1[C@@H]1O[C@]11[C@H]2[C@H]2OC(=O)C(=C)[C@@H]2CC[C@@]1(C)O,C[C@@]1(O)CC[C@@H]2[C@H](OC(=O)C2=C)[C@H]3[C@]4(C)O[C@@H]4[C@@H]5O[C@]135
C09355,C\C1=C/C[C@@H](O)\C(C)=C\[C@@H](O)[C@H]2[C@H](C1)OC(=O)C2=C,C\C1=C/C[C@@H](O)/C(=C/[C@@H](O)[C@H]2[C@H](C1)OC(=O)C2=C)C
C09356,CC(=O)O[C@@H]1\C=C(C)\[C@@H](C\C=C(C)\C[C@@H]2OC(=O)C(=C)[C@@H]12)OC(C)=O,CC(=O)O[C@@H]/1C\C=C(/C)C[C@@H]2OC(=O)C(=C)[C@H]2[C@H](OC(C)=O)\C=C1C
C09357,COc1cc2CCN(C)[C@H]3Cc4ccc(Oc5cc(C[C@H]6N(C)CCc7cc(OC)c(OC)c(Oc1cc23)c67)ccc5O)cc4,COc1cc2CCN(C)[C@H]3Cc4ccc(Oc5cc(C[C@H]6N(C)CCc7cc(OC)c(OC)c(Oc1cc23)c67)ccc5O)cc4
C09358,C[C@H](O)[C@@H]1C[C@@H]2[C@H](OC(=O)C2=C)[C@@H]2[C@@]11O[C@@H]1[C@@H](Cl)[C@]2(C)O,C[C@H](O)[C@@H]1C[C@@H]2[C@H](OC(=O)C2=C)[C@H]3[C@@](C)(O)[C@H](Cl)[C@H]4O[C@@]134
C09359,C[C@@](O)(CCl)C(=O)O[C@H]1CC(=C)[C@@H]2C[C@@H](O)[C@](O)(CCl)[C@@H]2[C@H]2OC(=O)C(=C)[C@H]12,C[C@@](O)(CCl)C(=O)O[C@H]1CC(=C)[C@@H]2C[C@@H](O)[C@](O)(CCl)[C@@H]2[C@H]3OC(=O)C(=C)[C@H]13
C09360,COc1ccc2cc3-c4cc5OCOc5cc4C(O)C[n+]3cc2c1OC,COc1ccc2cc3c4cc5OCOc5cc4C(O)C[n+]3cc2c1OC
C09361,CC(=O)O[C@H]1C\C=C(C)\C[C@@H](OC(=O)C(\C)=C\CO)[C@@H]2[C@H](OC(=O)C2=C)\C=C1\C,CC(=O)O[C@H]\1C\C=C(/C)C[C@@H](OC(=O)C(/C)=C/CO)[C@@H]2[C@H](OC(=O)C2=C)\C=C1C
C09362,C\C1=C/CC\C(CO)=C\[C@H]2OC(=O)C(=C)[C@@H]2[C@H](C1)OC(=O)C(=C)[C@@H](O)CO,C\C1=C/CCC(=C/[C@H]2OC(=O)C(=C)[C@@H]2[C@H](C1)OC(=O)C(=C)[C@@H](O)CO)/CO
C09363,C[C@@]12[C@@H]3OC(=O)C(=C)[C@@H]3CC[C@@H]3CO[C@H](CC1=O)[C@]23O,C[C@@]12[C@@H]3OC(=O)C(=C)[C@@H]3CC[C@@H]4CO[C@H](CC1=O)[C@]24O
C09364,[H][C@]1(OC(=O)c2c3OCOc3ccc12)[C@@]1([H])N(C)CCc2cc3OCOc3cc12,CN1CCc2cc3OCOc3cc2[C@H]1[C@@H]4OC(=O)c5c6OCOc6ccc45
C09365,COc1cc-2c(C[C@@H]3N(C)CCc4cc(O)c(OC)c-2c34)cc1O,COc1cc2c(C[C@@H]3N(C)CCc4cc(O)c(OC)c2c34)cc1O
C09366,COc1cc2C[C@@H]3N(C)CCc4cc(OC)c(O)c(-c2cc1O)c34,COc1cc2C[C@@H]3N(C)CCc4cc(OC)c(O)c(c2cc1O)c34
C09367,COc1ccc2C[C@@H]3N(C)CCc4cc5OCOc5c(c34)-c2c1O,COc1ccc2C[C@@H]3N(C)CCc4cc5OCOc5c(c34)c2c1O
C09368,COc1cc2CCN[C@@H]3Cc4ccccc4-c(c1O)c23,COc1cc2CCN[C@@H]3Cc4ccccc4c(c1O)c23
C09369,COc1cc2CCN=C3Cc4ccc(Oc5c(OC)ccc(C[C@H]6N(C)CCc7cc(OC)c(OC)c(Oc1cc23)c67)c5OC)cc4,COc1ccc2C[C@H]3N(C)CCc4cc(OC)c(OC)c(Oc5cc6c(CCN=C6Cc7ccc(Oc1c2OC)cc7)cc5OC)c34
C09370,COc1ccc2C[C@H]3[C@H]4C[C@]5([C@H]6Oc1c2[C@@]46CCN3C)N1CCc2ccc(OC)c3Oc4c(O)c(OC)ccc4C(C5=O)=C1c23,COc1ccc2c(Oc3c(OC)ccc4CCN5C(=C2C(=O)[C@]56C[C@@H]7[C@@H]8Cc9ccc(OC)c%10O[C@H]6[C@@]7(CCN8C)c9%10)c34)c1O
C09371,COc1ccc2C[C@@H]3N(CCc4cc(OC)c(OC)c(O)c34)Cc2c1OC,COc1ccc2C[C@@H]3N(CCc4cc(OC)c(OC)c(O)c34)Cc2c1OC
C09372,[H][C@]1(OC(=O)c2c3OCOc3ccc12)[C@]1([H])N(C)CCc2cc3OCOc3cc12,CN1CCc2cc3OCOc3cc2[C@@H]1[C@@H]4OC(=O)c5c6OCOc6ccc45
C09373,CC(=O)OC[C@H]1CC[C@@H]2[C@@H](OC(=O)C2=C)[C@]2(C)C(=O)C=C[C@@]12O,CC(=O)OC[C@H]1CC[C@@H]2[C@@H](OC(=O)C2=C)[C@]3(C)C(=O)C=C[C@@]13O
C09374,C[C@H]1C[C@H](OC(C)=O)[C@@H]2[C@@H](OC(=O)C2=C)[C@@]2(C)[C@H]1CCC2=O,C[C@H]1C[C@H](OC(C)=O)[C@@H]2[C@@H](OC(=O)C2=C)[C@@]3(C)[C@H]1CCC3=O
C09375,COc1cc2CCN(C)[C@@H](C)c2cc1OC,COc1cc2CCN(C)[C@@H](C)c2cc1OC
C09376,CC1(C)CCC[C@@]2(C)[C@H]1CCC1=C2COC1=O,CC1(C)CCC[C@@]2(C)[C@H]1CCC3=C2COC3=O
C09377,COc1ccc2CCN3Cc4cc(OC)c(OC)cc4C[C@H]3c2c1O,COc1ccc2CCN3Cc4cc(OC)c(OC)cc4C[C@H]3c2c1O
C09378,C[C@H]1C[C@H]2OC(=O)C(=C)[C@H]2C[C@@]2(C)[C@H]1CCC2=O,C[C@H]1C[C@H]2OC(=O)C(=C)[C@H]2C[C@@]3(C)[C@H]1CCC3=O
C09379,CC(=C)[C@@H]1[C@@H]2C[C@@]3(C)[C@@]4(CO4)[C@@H]4O[C@@H]4[C@@]3(O)[C@H]1C(=O)O2,CC(=C)[C@@H]1[C@@H]2C[C@]3(C)[C@@](O)([C@H]4O[C@H]4[C@]35CO5)[C@H]1C(=O)O2
C09380,COc1cc-2c(C[C@@H]3NCCc4c(OC)c5OCOc5c-2c34)cc1O,COc1cc2c(C[C@@H]3NCCc4c(OC)c5OCOc5c2c34)cc1O
C09381,C[C@H]1CC[C@@H]2[C@@H](OC(=O)C2=C)[C@]2(C)C(=O)CC[C@@]12O,C[C@H]1CC[C@@H]2[C@@H](OC(=O)C2=C)[C@]3(C)C(=O)CC[C@@]13O
C09382,[C@H]12C=C(CCC=C(CC[C@H]2C(C(O1)=O)=C)C)C,C\C1=C/CCC(=C/[C@H]2OC(=O)C(=C)[C@@H]2CC1)/C
C09383,CC1=CCC[C@]2(C)CC[C@@H]3[C@H](OC(=O)C3=C)[C@@H]12,CC1=CCC[C@]2(C)CC[C@@H]3[C@H](OC(=O)C3=C)[C@@H]12
C09384,C[C@]12CCCC(=C)[C@@H]1[C@H]1OC(=O)C(=C)[C@@H]1CC2,C[C@]12CCCC(=C)[C@@H]1[C@H]3OC(=O)C(=C)[C@@H]3CC2
C09385,OCC(=C)C(=O)O[C@H]1CC(=C)[C@@H]2C[C@H](O)C(=C)[C@@H]2[C@H]2OC(=O)C(=C)[C@H]12,OCC(=C)C(=O)O[C@H]1CC(=C)[C@@H]2C[C@H](O)C(=C)[C@@H]2[C@H]3OC(=O)C(=C)[C@H]13
C09386,C[C@H]1CC[C@@H]2[C@@H](OC(=O)C2=C)[C@@]2(C)[C@H]1CCC2=O,C[C@H]1CC[C@@H]2[C@@H](OC(=O)C2=C)[C@@]3(C)[C@H]1CCC3=O
C09387,[H][C@@]12CCC(=C)[C@]1([H])[C@H]1OC(=O)C(=C)[C@@H]1CCC2=C,C=C1CC[C@@H]2[C@H](OC(=O)C2=C)[C@@H]3[C@H]1CCC3=C
C09388,CC(=C)C(=O)O[C@H]1CC2=C[C@@H](C\C(C)=C\[C@H]3OC(=O)C(=C)[C@H]13)OC2=O,CC(=C)C(=O)O[C@H]1CC2=C[C@@H](CC(=C/[C@H]3OC(=O)C(=C)[C@H]13)/C)OC2=O
C09389,C12=C3[C@](CC4=C1C=C(OC)C(=C4)O)(N(CCC3=CC5=C2OCO5)C)[H],COc1cc2c(C[C@@H]3N(C)CCc4cc5OCOc5c2c34)cc1O
C09390,[H][C@]1(C[C@@]2([H])NCCc3cc(O)c(OC)cc23)C[C@]2([H])N(CCc3cc(OC)c(OC)cc23)C[C@@H]1CC,CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]4NCCc5cc(O)c(OC)cc45
C09391,C12=C3C=4[C@@H](N(CCC4C=C1OCO2)C)CC=5C=CC(=CC5)OC=6C(=CC=C(C6)C[C@H]7N(CCC8=C7C=C(C(=C8)OC)O3)C)OC,COc1ccc2C[C@H]3N(C)CCc4cc(OC)c(Oc5c6OCOc6cc7CCN(C)[C@@H](Cc8ccc(Oc1c2)cc8)c57)cc34
C09392,CC1=C2[C@@H]([C@H]3OC(=O)C(=C)[C@@H]3CC1)C(CO)=CC2=O,CC1=C2[C@@H]([C@H]3OC(=O)C(=C)[C@@H]3CC1)C(=CC2=O)CO
C09393,COc1cc2CCN(C)[C@]3([C@@H](O)c4c(ccc5OCOc45)C3=O)c2cc1O,COc1cc2CCN(C)[C@]3([C@@H](O)c4c5OCOc5ccc4C3=O)c2cc1O
C09394,C[C@H]1[C@@H]2CCC(C)=C3[C@@H]([C@H]2OC1=O)C(C)=CC3=O,C[C@H]1[C@@H]2CCC(=C3[C@@H]([C@H]2OC1=O)C(=CC3=O)C)C
C09395,C\C=C(\CO)C(=O)O[C@@H]1C\C(C)=C\C[C@@H](O)\C(C)=C\[C@H]2OC(=O)C(=C)[C@H]12,C/C=C(/CO)C(=O)O[C@@H]1CC(=C/C[C@@H](O)/C(=C/[C@H]2OC(=O)C(=C)[C@H]12)C)/C
C09396,C[C@]12CCC3=CC[C@H]4[C@@H](C[C@@]3(CO1)O2)OC(=O)C4=C,C[C@]12CCC3=CC[C@H]4[C@@H](C[C@@]3(CO1)O2)OC(=O)C4=C
C09397,C[C@@H]1[C@@H]2[C@H](C[C@]3(C)O[C@H]3[C@@H]3O[C@@H]3C3=C[C@H]2OC3=O)OC1=O,C[C@@H]1[C@@H]2[C@H](C[C@]3(C)O[C@H]3[C@@H]4O[C@@H]4C5=C[C@H]2OC5=O)OC1=O
C09398,CN1CCc2ccc(O)c3Oc4cc5OCOc5cc4C[C@H]1c23,CN1CCc2ccc(O)c3Oc4cc5OCOc5cc4C[C@H]1c23
C09399,CC1(C)CCC[C@]2(C)[C@H]3C(=O)OCC3=CC[C@@H]12,CC1(C)CCC[C@@]2(C)[C@H]1CC=C3COC(=O)[C@H]23
C09400,COc1cc2C[C@@H]3N(C)CCc4ccc(O)c(Oc2cc1OC)c34,COc1cc2C[C@@H]3N(C)CCc4ccc(O)c(Oc2cc1OC)c34
C09401,CC(=O)OC\C=C(\C)C(=O)O[C@@H]1C[C@@]2(C)O[C@@H]2[C@H]2O[C@H]2\C(CO)=C/[C@H]2OC(=O)C(=C)[C@H]12,CC(=O)OC\C=C(\C)C(=O)O[C@@H]1C[C@@]2(C)O[C@@H]2[C@H]3O[C@H]3\C(=C/[C@H]4OC(=O)C(=C)[C@H]14)CO
C09402,CC(C)=CC(=O)O[C@H]1CC2=C[C@@H](C[C@@]3(C)O[C@@H]3[C@H]3OC(=O)C(=C)[C@H]13)OC2=O,CC(C)=CC(=O)O[C@H]1CC2=C[C@@H](C[C@@]3(C)O[C@@H]3[C@H]4OC(=O)C(=C)[C@H]14)OC2=O
C09403,CC(=C)C(=O)O[C@H]1CC2=C[C@@H](C[C@@]3(C)O[C@@H]3[C@H]3OC(=O)C(=C)[C@H]13)OC2=O,CC(=C)C(=O)O[C@H]1CC2=C[C@@H](C[C@@]3(C)O[C@@H]3[C@H]4OC(=O)C(=C)[C@H]14)OC2=O
C09404,C[C@@]12C[C@H]3OC(=O)C(=C)[C@H]3C[C@H]1C(=C)C(=O)C=C2,C[C@@]12C[C@H]3OC(=O)C(=C)[C@H]3C[C@H]1C(=C)C(=O)C=C2
C09405,[C@]12(CCC=C([C@H]([C@@H]([C@]3([C@@]([C@H]1O2)(OC(C3=C)=O)[H])[H])OC([C@]4(C)[C@H](C)O4)=O)OC(=O)C)C(OC)=O)C,COC(=O)C/1=C/CC[C@@]2(C)O[C@@H]2[C@H]3OC(=O)C(=C)[C@@H]3[C@H](OC(=O)[C@]4(C)O[C@@H]4C)[C@H]1OC(C)=O
C09406,CC1=CC[C@@H]2[C@H](OC(=O)C2=C)[C@@H]2[C@H]1CCC2=C,CC1=CC[C@@H]2[C@H](OC(=O)C2=C)[C@@H]3[C@H]1CCC3=C
C09407,CC(C)[C@@]1(O)O[C@H]2C[C@@]3(C)OC(=CC3=O)\C(C)=C/[C@H]3OC(=O)[C@@]1(C)[C@H]23,CC(C)[C@]1(O)O[C@@H]2C[C@]3(C)OC(=CC3=O)C(=C/[C@@H]4OC(=O)[C@]1(C)[C@H]24)\C
C09408,C[C@H]1CCCC2=C[C@@H]3OC(=O)C(=C)[C@@H]3C[C@]12C,C[C@H]1CCCC2=C[C@@H]3OC(=O)C(=C)[C@@H]3C[C@]12C
C09409,C[C@H]1CCC[C@@H]2C[C@@H]3OC(=O)C(C)=C3C[C@]12C,C[C@H]1CCC[C@@H]2C[C@@H]3OC(=O)C(=C3C[C@]12C)C
C09410,COc1cc2C[C@@H]3NCCc4ccc(OC)c(Oc2cc1OC)c34,COc1ccc2CCN[C@H]3Cc4cc(OC)c(OC)cc4Oc1c23
C09411,COc1cc2C[C@@H]3N(C)CCc4ccc(OC)c(Oc2cc1OC)c34,COc1ccc2CCN(C)[C@H]3Cc4cc(OC)c(OC)cc4Oc1c23
C09412,CC(=O)O[C@H]1C[C@H]2O[C@]2(C)C[C@@H](OC(=O)C(C)=C)[C@@H]2[C@H](OC(=O)C2=C)\C=C1\C,CC(=O)OC1CC2OC2(C)CC(OC(=O)C(C)=C)C3C(OC(=O)C3=C)\C=C1/C
C09413,CC(=C)C(=O)O[C@@H]1C[C@@]2(C)O[C@@H]2C[C@H](OC(=O)C(C)=C)\C(C)=C/[C@H]2OC(=O)C(=C)[C@H]12,CC(=C)C(=O)OC1CC2(C)OC2CC(OC(=O)C(C)=C)C(=C/C3OC(=O)C(=C)C13)/C
C09414,C\C=C(\C)C(=O)O[C@H]1[C@H]2[C@@H](CC(CO)=C1[C@@H](C)CCCO)OC(=O)C2=C,C/C=C(/C)C(=O)O[C@H]1[C@H]2[C@@H](CC(=C1[C@@H](C)CCCO)CO)OC(=O)C2=C
C09415,COc1ccc2C[C@H]3NCCc4cc(OC)c(Oc5c(O)c(OC)cc6CCN(C)[C@@H](Cc7ccc(Oc1c2)cc7)c56)cc34,COc1ccc2C[C@H]3NCCc4cc(OC)c(Oc5c(O)c(OC)cc6CCN(C)[C@@H](Cc7ccc(Oc1c2)cc7)c56)cc34
C09416,C\C=C(\C)C(=O)O[C@@H]1C[C@](O)(CCl)[C@@H]2[C@H](O)C=C(C)[C@]2(O)[C@H]2OC(=O)C(=C)[C@H]12,C/C=C(/C)C(=O)O[C@@H]1C[C@](O)(CCl)[C@@H]2[C@H](O)C=C(C)[C@]2(O)[C@H]3OC(=O)C(=C)[C@H]13
C09417,C\C=C(\C)C(=O)O[C@@H]1C[C@](O)(CCl)[C@@H]2[C@H](OC(C)=O)C=C(C)[C@]2(O)[C@H]2OC(=O)C(=C)[C@H]12,C/C=C(/C)C(=O)O[C@@H]1C[C@](O)(CCl)[C@@H]2[C@H](OC(C)=O)C=C(C)[C@]2(O)[C@H]3OC(=O)C(=C)[C@H]13
C09418,COc1cc2CCN(C)[C@H]3Cc4ccc(Oc5cc(C[C@H]6NCCc7cc(OC)c(Oc(c1O)c23)cc67)ccc5O)cc4,COc1cc2CCN(C)[C@H]3Cc4ccc(Oc5cc(C[C@H]6NCCc7cc(OC)c(Oc(c1O)c23)cc67)ccc5O)cc4
C09419,COc1cc2CCN(C)[C@H](Cc3ccc(Oc4cc(C[C@H]5N(C)CCc6cc(OC)c(OC)cc56)ccc4O)cc3)c2cc1OC,COc1cc2CCN(C)C(Cc3ccc(Oc4cc(CC5N(C)CCc6cc(OC)c(OC)cc56)ccc4O)cc3)c2cc1OC
C09420,[H][C@]1(Cc2nccc3cc(OC)c(OC)cc23)C[C@]2([H])N(CCc3cc(OC)c(OC)cc23)C[C@@H]1CC,CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1Cc4nccc5cc(OC)c(OC)cc45
C09421,[H][C@]1(C[C@@]2([H])NCCc3cc(OC)c(OC)cc23)C[C@]2([H])N(CCc3cc(OC)c(OC)cc23)C[C@@H]1CC,CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]4NCCc5cc(OC)c(OC)cc45
C09422,COc1cc2c(CCN3CC=C4C=C[C@H](O)C[C@]234)cc1O,COc1cc2c(CCN3CC=C4C=C[C@H](O)C[C@]234)cc1O
