C08032,CCC1NC(=O)C(NC(=O)c2ncccc2O)C(C)OC(=O)C(c2ccccc2)NC(=O)C2CC(=O)C(CSC3CN4CCC3CC4)CN2C(=O)C(Cc2ccc(N(C)C)cc2)N(C)C(=O)C2CCCN2C1=O
C08033,CCN(CC)CCS(=O)(=O)C1CCN2C(=O)c3coc(n3)CC(=O)CC(O)C=C(C)C=CCNC(=O)C=CC(C)C(C(C)C)OC(=O)C12
C08031,CCC(=O)OC1C(OC2C(C)C(OC3CC(C)(OC)C(O)C(C)O3)C(C)C(=O)OC(CC)C(C)(O)C(O)C(C)C(=O)C(C)CC2(C)O)OC(C)CC1N(C)C
C14914,CC12CCC(Cl)CC1=CCC1C2CCC2(C)C1CCC2N(CCCl)CCCl
C14915,CC12CCC3C(CCC4CC(=C5C=CC=C5)CCC43C)C1CCC2O
C14916,CCC1(c2ccccc2)NC(=O)NC1=O
C14917,CC12CC(=O)C3(SC#N)C(CCC4=CC(=O)CCC43C)C1CCC2=O
C14910,CC12CCC(=O)C(F)(F)C1=CCC1C2CCC2(C)C1CCC2(C)O
C14911,CC12CCC3C(CCC4CC(=O)OCC43C)C1CCC2O
C14912,CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC(=O)O2
C14913,CC(=O)OC1CCC2C3CCC4OC(=O)CCC4(C)C3CCC12C
C18712,[Cu+2]
C04271,Oc1ccc2c(c1)OC1c3ccc(O)cc3OCC21
C04272,CC(C)(O)C(O)C(=O)O
C04273,N#CC(OC1OC(CO)C(O)C(O)C1O)c1ccccc1
C04274,O=N(O)c1ccc(OCC2CO2)cc1
C04275,COc1cc(C=CC(=O)OC2OC(CO)C(O)C(O)C2OC(=O)C=Cc2cc(OC)c(O)c(OC)c2)cc(OC)c1O
C04276,NAN
C04277,O=C1CCCCCNC(=O)CCCCCN1
C09929,C=C(C)C(CC=C(C)C)CC12CC(CC=C(C)C)C(C)(C)C(CC=C(C)C)(C(=O)C(C(=O)c3ccc(O)c(O)c3)=C1O)C2=O
C09928,COc1cc2c(cc1C)C(=O)C(C)CC2O
C09923,COc1cc(C)c(Oc2cc(C)cc(O)c2)c(O)c1
C09922,COc1cc(C2Oc3c(OC)cc4ccc(=O)oc4c3OC2CO)ccc1O
C09921,CCCC=C1OC(=O)c2c(O)cccc21
C09920,Oc1ccc2c(c1)OCC1(O)Cc3cc(O)c(O)cc3C21
