KEGGid,SMILES_by_mol
C00117,O=P(O)(O)OCC1OC(O)C(O)C1O
C00118,O=CC(O)COP(=O)(O)O
C00119,O=P(O)(O)OCC1OC(OP(=O)(O)OP(=O)(O)O)C(O)C1O
C00120,O=C(O)CCCCC1SCC2NC(=O)NC21
C00121,OCC1OC(O)C(O)C1O
C00122,O=C(O)C=CC(=O)O
C00123,CC(C)CC(N)C(=O)O
C00124,OCC1OC(O)C(O)C(O)C1O
C00125,*NC(=O)C(CSC(C)C1=C(C)C2=Cc3c(C(C)SCC(NC(*)=O)C(=O)N*)c(C)c4n3[Fe+]n3c(c(C)c(CCC(=O)O)c3=CC3=NC(=C4)C(C)=C3CCC(=O)O)=CC1=N2)NC(*)=O
C00126,*NC(=O)C(CSC(C)C1=C(C)C2=Cc3c(C(C)SCC(NC(*)=O)C(=O)N*)c(C)c4n3[Fe]n3c(c(C)c(CCC(=O)O)c3=CC3=NC(=C4)C(C)=C3CCC(=O)O)=CC1=N2)NC(*)=O
C00127,NC(CCC(=O)NC(CSSCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O)C(=O)NCC(=O)O)C(=O)O
C00128,CC(=O)NC1C(O)CC(OP(=O)(O)OCC2OC(n3ccc(N)nc3=O)C(O)C2O)(C(=O)O)OC1C(O)C(O)CO
C00129,C=C(C)CCOP(=O)(O)OP(=O)(O)O
C00130,O=c1[nH]cnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O
C00131,Nc1ncnc2c1ncn2C1CC(O)C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1
C00132,CO
C00133,CC(N)C(=O)O
C00134,NCCCCN
C00135,NC(Cc1c[nH]cn1)C(=O)O
C00136,CCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
C00137,OC1C(O)C(O)C(O)C(O)C1O
C00140,CC(=O)NC1C(O)OC(CO)C(O)C1O
C00141,CC(C)C(=O)C(=O)O
C00143,Nc1nc2c(c(=O)[nH]1)N1CN(c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)CC1CN2
C00144,Nc1nc2c(ncn2C2OC(COP(=O)(O)O)C(O)C2O)c(=O)[nH]1
C00145,*S
C00146,Oc1ccccc1
C00147,Nc1ncnc2[nH]cnc12
C00148,O=C(O)C1CCCN1
C00149,O=C(O)CC(O)C(=O)O
C00150,[Mo]
C00151,*C(N)C(=O)O
C00152,NC(=O)CC(N)C(=O)O
C00153,NC(=O)c1cccnc1
C00154,CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
C00155,NC(CCS)C(=O)O
C00156,O=C(O)c1ccc(O)cc1
