KEGGid,SMILES_by_CAS
C00120,OC(=O)CCCCC1SCC2NC(=O)NC12
C00121,OCC1OC(O)C(O)C1O
C00122,OC(=O)\C=C\C(O)=O
C00123,CC(C)CC(N)C(O)=O
C00124,OCC1OC(O)C(O)C(O)C1O
C00125,None
C00126,None
C00127,NC(CCC(=O)NC(CSSCC(NC(=O)CCC(N)C(O)=O)C(=O)NCC(O)=O)C(=O)NCC(O)=O)C(O)=O
C00128,CC(=O)NC1C(O)CC(OC1C(O)C(O)CO)(O[P](O)(=O)OCC2OC(C(O)C2O)N3C=CC(=NC3=O)N)C(O)=O
C00129,CC(=C)CCO[P](O)(=O)O[P](O)(O)=O
C00130,OC1C(O)C(OC1CO[P](O)(O)=O)n2cnc3C(=O)N=CNc23
C00131,Nc1ncnc2n(cnc12)C3CC(O)C(CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)O3
C00132,CO
C00133,CC(N)C(O)=O
C00134,NCCCCN
C00135,NC(Cc1[nH]cnc1)C(O)=O
C00136,None
C00137,OC1C(O)C(O)C(O)C(O)C1O
C00138,None
C00139,None
C00140,CC(=O)NC1C(O)OC(CO)C(O)C1O
C00141,[Na+].CC(C)C(=O)C([O-])=O
C00143,NC1=NC(=O)C2=C(NC[C@@H]3CN(CN23)c4ccc(cc4)C(=O)NC(CCC(O)=O)C(O)=O)N1
C00144,NC1=NC(=O)c2ncn(C3OC(CO[P](O)(O)=O)C(O)C3O)c2N1
C00145,None
C00146,Oc1ccccc1
C00147,Nc1ncnc2nc[nH]c12
C00148,OC(=O)C1CCCN1
C00149,O[C@@H](CC(O)=O)C(O)=O
C00150,[Mo]
C00151,None
C00152,NC(CC(N)=O)C(O)=O
C00153,NC(=O)c1cccnc1
C00154,CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)CO[P](O)(=O)O[P](O)(=O)OCC1OC(C(O)C1O[P](O)(O)=O)n2cnc3c(N)ncnc23
C00155,N[C@@H](CCS)C(O)=O
C00156,OC(=O)c1ccc(O)cc1
C00157,None
C00158,OC(=O)CC(O)(CC(O)=O)C(O)=O
C00159,OCC1OC(O)C(O)C(O)C1O
C00160,OCC(O)=O
C00161,None
C00162,None
C00163,CCC(O)=O
C00164,CC(=O)CC(O)=O
C00165,None
C00166,OC(=O)C(=O)Cc1ccccc1
C00167,None
C00168,OCC(=O)C(O)=O
C00169,NC(=O)O[P](O)(O)=O
C00170,CSCC1OC(C(O)C1O)n2cnc3c(N)ncnc23
C00171,None
C00172,None
C00173,None
C00174,None
C00175,[Co++]
C00176,None
C00177,[C-]#N
C00178,CC1=CNC(=O)NC1=O
C00179,NCCCCN=C(N)N
C00180,OC(=O)c1ccccc1
C00181,OC1COC(O)C(O)C1O
C00182,OC[C@H]1O[C@H](OC[C@H]2O[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]3CO)[C@H](O)[C@@H](O)[C@@H]2O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@H](O)[C@@H](O)[C@@H]1O
C00183,CC(C)C(N)C(O)=O
C00184,OCC(=O)CO
C00185,OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O
C00186,C[C@H](O)C(O)=O
C00187,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
C00188,CC(O)C(N)C(O)=O
C00189,NCCO
C00190,OC1COC(O[P](O)(=O)O[P](O)(=O)OCC2OC(C(O)C2O)N3C=CC(=O)NC3=O)C(O)C1O
C00191,O[C@@H](C=O)[C@@H](O)[C@H](O)[C@H](O)C(O)=O
C00192,NO
C00193,None
C00194,None
C00195,None
C00196,OC(=O)c1cccc(O)c1O
C00197,None
C00198,OCC1OC(=O)C(O)C(O)C1O
C00199,None
C00200,CO[S]([O-])(=O)=O.C[n+]1c2ccccc2nc3ccccc13
C00201,None
C00202,CC(C)O[P](F)(=O)OC(C)C
C00203,None
